#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",TotCases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
1,USA,1881205,21882,108059,1134,645974,1127172,17114,5686,327,18603174,56228,330854064
2,Brazil,556668,27263,31278,1232,240627,284763,8318,2620,147,930013,4378,212442762
3,Russia,423741,8863,5037,182,186985,231719,2300,2904,35,11151622,76418,145929848
4,Spain,287012,294,27127,,N/A,N/A,617,6139,580,4063843,86921,46753443
5,UK,277985,1653,39369,324,N/A,N/A,1559,4097,580,4615146,68011,67858826
6,Italy,233515,318,33530,55,160092,39893,408,3862,555,3962292,65527,60468295
7,India,207191,8821,5829,221,100285,101077,8944,150,4,3966075,2876,1378937377
8,France,189220,,28940,107,68812,91468,1253,2899,443,1384633,21216,65262729
9,Germany,184091,326,8674,56,166400,9017,689,2198,104,3952971,47192,83763806
10,Peru,174884,4845,4767,133,69257,100860,964,5310,145,1092646,33176,32934728
11,Turkey,165555,786,4585,22,129921,31049,633,1965,54,2103044,24957,84267248
12,Iran,157562,3117,7942,64,123077,26543,2565,1878,95,975936,11631,83906701
13,Chile,108686,3527,1188,75,44946,62552,1446,5689,62,612772,32077,19103405
14,Mexico,93435,2771,10167,237,67491,15777,378,725,79,282089,2190,128825735
15,Canada,92410,705,7395,69,50357,34658,1709,2450,196,1724250,45716,37716316
16,Saudi Arabia,89011,1869,549,24,65790,22672,1264,2560,16,853987,24561,34769565
17,China,83021,4,4634,,78315,72,3,58,3,,,1439323776
18,Pakistan,76398,3938,1621,78,27110,47667,111,346,7,577974,2621,220532862
19,Qatar,60259,1826,43,3,36036,24180,239,21461,15,231098,82306,2807805
20,Belgium,58615,98,9505,19,15934,33176,166,5059,820,884386,76334,11585802
21,Bangladesh,52445,2911,709,37,11120,40616,1,319,4,333073,2024,164560234
22,Netherlands,46647,102,5967,5,N/A,N/A,154,2723,348,359833,21004,17132042
23,Belarus,44255,852,243,3,19195,24817,92,4683,26,562945,59574,9449551
24,Ecuador,40414,420,3438,44,20019,16957,252,2293,195,118754,6739,17621217
25,Sweden,38589,775,4468,65,N/A,N/A,283,3823,443,275500,27292,10094432
26,Singapore,35836,544,24,,23175,12637,6,6129,4,334691,57244,5846771
27,South Africa,35812,1455,755,50,18313,16744,208,604,13,761534,12853,59248777
28,UAE,35788,596,269,3,18726,16793,1,3622,27,2145493,217136,9880861
29,Portugal,32895,195,1436,12,19869,11590,58,3225,141,847181,83066,10198850
30,Colombia,31833,1340,1009,40,11142,19682,136,626,20,350213,6889,50840001
31,Switzerland,30874,3,1920,,28500,454,29,3569,222,400793,46336,8649729
32,Kuwait,28649,887,226,6,14281,14142,187,6717,53,290013,67991,4265437
33,Indonesia,27549,609,1663,22,7935,17951,,101,6,342464,1253,273295010
34,Egypt,27536,1152,1052,47,6827,19657,41,270,10,135000,1321,102173226
35,Ireland,25066,4,1658,8,22089,1319,36,5081,336,348416,70624,4933409
36,Poland,24395,230,1092,18,11726,11577,160,645,29,945955,24992,37849635
37,Ukraine,24340,328,727,9,10078,13535,286,556,17,371668,8495,43752274
38,Romania,19517,119,1288,12,13526,4703,166,1014,67,448813,23319,19246690
39,Philippines,18997,359,966,6,4063,13968,78,174,9,366269,3346,109463670
40,Argentina,18319,904,569,13,5709,12041,274,406,13,164084,3633,45163302
41,Dominican Republic,17752,180,515,13,11075,6162,110,1638,48,84638,7808,10839344
42,Israel,17285,116,290,5,14940,2055,31,1879,32,582445,63326,9197590
43,Japan,16930,46,894,2,14650,1386,113,134,7,296383,2343,126504317
44,Austria,16759,26,669,1,15629,461,26,1862,74,456378,50695,9002468
45,Afghanistan,16509,759,270,5,1450,14789,19,425,7,40950,1054,38853367
46,Panama,14095,258,352,8,9514,4229,78,3271,82,69483,16124,4309210
47,Oman,12799,576,59,9,2812,9928,31,2512,12,100181,19661,5095308
48,Bahrain,12311,440,19,,7407,4885,10,7258,11,330733,194996,1696105
49,Denmark,11734,35,580,4,10489,665,21,2026,100,646086,111574,5790665
50,Kazakhstan,11571,263,44,3,5941,5586,62,617,2,828377,44159,18758789
51,S. Korea,11541,38,272,1,10446,823,15,225,5,939851,18333,51265922
52,Serbia,11454,24,245,1,6766,4443,10,1311,28,252132,28848,8739886
53,Nigeria,10819,241,314,15,3240,7265,7,53,2,65885,320,205696187
54,Bolivia,10531,549,343,30,1137,9051,3,903,29,28239,2422,11660175
55,Armenia,10009,517,158,19,3427,6424,10,3378,53,59917,20223,2962831
56,Algeria,9626,113,667,6,6067,2892,25,220,15,,,43785268
57,Czechia,9364,62,323,2,6686,2355,17,875,30,447957,41836,10707502
58,Moldova,8548,188,307,2,4738,3503,255,2119,76,57003,14128,4034641
59,Norway,8455,9,237,1,7727,491,9,1561,44,250968,46322,5417952
60,Ghana,8297,227,38,2,2986,5273,3,267,1,218425,7042,31018059
61,Malaysia,7877,20,115,,6470,1292,6,244,4,560738,17343,32332728
62,Morocco,7866,33,206,1,6410,1250,13,213,6,234651,6363,36875683
63,Iraq,7387,519,235,20,3508,3644,46,184,6,238251,5935,40145341
64,Australia,7221,17,102,,6626,493,4,283,4,1494692,58670,25476337
65,Finland,6887,2,320,2,5500,1067,9,1243,58,190800,34440,5540080
66,Cameroon,6585,188,200,1,3676,2709,28,249,8,,,26488477
67,Azerbaijan,5935,273,71,3,3564,2300,42,586,7,309901,30586,10132029
