#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
,,,,,,,,,,,,,
,World,4891419,3295,320137,172,1907423,2663859,44767,628,41.1,,,
1,USA,1550294.00,,91981,,356383,1101930,16868,4687,278,12300744,37188,330774664
2,Russia,290678,,2722,,70209,217747,23,1992,19,7147014,48977,145927292
3,Spain,278188,,27709,,196958,53521,1152,595,593,3037840,64977,46752703
4,Brazil,255368,,16853,,100459,138056,8318,1202,79,735224,3462,212380932
5,UK,246406,,34796,,,,1559,3632,513,2682716,39542,67844241
6,Italy,225886,,32007,,127326,66553,749,3735,529,3041366,50294,60471924
7,France,179927,,28239,,61728,8996,1998,2757,433,1384633,21218,65256826
8,Germany,177289,,8123,,1546,14566,1133,2117,97,3147771,37584,83752855
9,Turkey,150593,,4171,,111577,34845,903,1788,50,1650135,19591,84230075
10,Iran,122492,,7057,,95661,19774,2294,1461,84,70164,8367,83862642
11,India,100328,,3156,,39233,57939,,73,2,2302792,1671,1378381772
12,Peru,94933,,2789,,30306,61838,866,2884,85,661132,20085,32915899
13,China,8296,6,4634,,78241,85,10,58,3,,,1439323776
14,Canada,78072,,5842,,39228,33002,502,2071,155,1323371,351,37702769
15,Saudi Arabia,57345,,320,,28748,28277,237,165,9,601954,17324,34747330
16,Belgium,55559,,908,,14657,31822,342,4796,784,69684,60157,11583739
17,Mexico,51633,2414,5332,155,35388,10913,378,401,41,177133,1376,128770253
18,Chile,46059,,478,,20165,25416,807,2412,25,381011,19952,19096687
19,Netherlands,44141,,5694,,,,323,2577,332,297347,17358,17130492
20,Pakistan,42125,,903,,11922,293,111,191,4,387335,1758,220356788
21,Qatar,33969,,15,,4899,29055,172,11815,5,161695,56241,2875047
22,Ecuador,33582,,2799,,3433,2735,186,1907,159,96536,5482,17610231
23,Switzerland,30597,,1886,,276,1111,57,3538,218,34576,39985,8647139
24,Belarus,30572,,171,,1013,20271,92,3235,18,364319,38554,9449678
25,Sweden,30377,,3698,,4971,21708,287,301,366,1775,17588,10091856
26,Portugal,29209,,1231,,643,21548,105,2864,121,652497,6397,10200063
27,Singapore,28343,,22,,9835,18486,12,4849,4,246254,42132,5844888
28,Ireland,242,,1547,,1947,3183,54,4908,314,258808,52484,4931150
29,UAE,2419,,224,,9577,14389,1,2449,23,1600923,162103,9875965
30,Bangladesh,2387,,349,,4585,18936,1,145,2,185086,1125,164493041
31,Poland,18885,,936,,7628,10321,160,499,25,636046,16804,37851327
32,Ukraine,18616,,535,,5276,12805,240,425,12,232899,5322,43762985
33,Indonesia,1801,,1191,,4324,12495,,66,4,19066,698,273176544
