Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases_1MPop,Deaths_1MPop,TotalTests,Tests_1MPop,Population
USA,1881205,21882.0,108059.0,1134.0,645974.0,1127172.0,17114.0,5686.0,327.0,18603174.0,56228.0,330854064.0
Brazil,556668,27263.0,31278.0,1232.0,240627.0,284763.0,8318.0,2620.0,147.0,930013.0,4378.0,212442762.0
Russia,423741,8863.0,5037.0,182.0,186985.0,231719.0,2300.0,2904.0,35.0,11151622.0,76418.0,145929848.0
Spain,287012,294.0,27127.0,0.0,0.0,0.0,617.0,6139.0,580.0,4063843.0,86921.0,46753443.0
UK,277985,1653.0,39369.0,324.0,0.0,0.0,1559.0,4097.0,580.0,4615146.0,68011.0,67858826.0
Italy,233515,318.0,33530.0,55.0,160092.0,39893.0,408.0,3862.0,555.0,3962292.0,65527.0,60468295.0
India,207191,8821.0,5829.0,221.0,100285.0,101077.0,8944.0,150.0,4.0,3966075.0,2876.0,1378937377.0
France,189220,0.0,28940.0,107.0,68812.0,91468.0,1253.0,2899.0,443.0,1384633.0,21216.0,65262729.0
Germany,184091,326.0,8674.0,56.0,166400.0,9017.0,689.0,2198.0,104.0,3952971.0,47192.0,83763806.0
Peru,174884,4845.0,4767.0,133.0,69257.0,100860.0,964.0,5310.0,145.0,1092646.0,33176.0,32934728.0
Turkey,165555,786.0,4585.0,22.0,129921.0,31049.0,633.0,1965.0,54.0,2103044.0,24957.0,84267248.0
Iran,157562,3117.0,7942.0,64.0,123077.0,26543.0,2565.0,1878.0,95.0,975936.0,11631.0,83906701.0
Chile,108686,3527.0,1188.0,75.0,44946.0,62552.0,1446.0,5689.0,62.0,612772.0,32077.0,19103405.0
Mexico,93435,2771.0,10167.0,237.0,67491.0,15777.0,378.0,725.0,79.0,282089.0,2190.0,128825735.0
Canada,92410,705.0,7395.0,69.0,50357.0,34658.0,1709.0,2450.0,196.0,1724250.0,45716.0,37716316.0
Saudi Arabia,89011,1869.0,549.0,24.0,65790.0,22672.0,1264.0,2560.0,16.0,853987.0,24561.0,34769565.0
China,83021,4.0,4634.0,0.0,78315.0,72.0,3.0,58.0,3.0,0.0,0.0,1439323776.0
Pakistan,76398,3938.0,1621.0,78.0,27110.0,47667.0,111.0,346.0,7.0,577974.0,2621.0,220532862.0
Qatar,60259,1826.0,43.0,3.0,36036.0,24180.0,239.0,21461.0,15.0,231098.0,82306.0,2807805.0
Belgium,58615,98.0,9505.0,19.0,15934.0,33176.0,166.0,5059.0,820.0,884386.0,76334.0,11585802.0
Bangladesh,52445,2911.0,709.0,37.0,11120.0,40616.0,1.0,319.0,4.0,333073.0,2024.0,164560234.0
Netherlands,46647,102.0,5967.0,5.0,0.0,0.0,154.0,2723.0,348.0,359833.0,21004.0,17132042.0
Belarus,44255,852.0,243.0,3.0,19195.0,24817.0,92.0,4683.0,26.0,562945.0,59574.0,9449551.0
Ecuador,40414,420.0,3438.0,44.0,20019.0,16957.0,252.0,2293.0,195.0,118754.0,6739.0,17621217.0
Sweden,38589,775.0,4468.0,65.0,0.0,0.0,283.0,3823.0,443.0,275500.0,27292.0,10094432.0
Singapore,35836,544.0,24.0,0.0,23175.0,12637.0,6.0,6129.0,4.0,334691.0,57244.0,5846771.0
South Africa,35812,1455.0,755.0,50.0,18313.0,16744.0,208.0,604.0,13.0,761534.0,12853.0,59248777.0
UAE,35788,596.0,269.0,3.0,18726.0,16793.0,1.0,3622.0,27.0,2145493.0,217136.0,9880861.0
Portugal,32895,195.0,1436.0,12.0,19869.0,11590.0,58.0,3225.0,141.0,847181.0,83066.0,10198850.0
Colombia,31833,1340.0,1009.0,40.0,11142.0,19682.0,136.0,626.0,20.0,350213.0,6889.0,50840001.0
Switzerland,30874,3.0,1920.0,0.0,28500.0,454.0,29.0,3569.0,222.0,400793.0,46336.0,8649729.0
Kuwait,28649,887.0,226.0,6.0,14281.0,14142.0,187.0,6717.0,53.0,290013.0,67991.0,4265437.0
Indonesia,27549,609.0,1663.0,22.0,7935.0,17951.0,0.0,101.0,6.0,342464.0,1253.0,273295010.0
Egypt,27536,1152.0,1052.0,47.0,6827.0,19657.0,41.0,270.0,10.0,135000.0,1321.0,102173226.0
Ireland,25066,4.0,1658.0,8.0,22089.0,1319.0,36.0,5081.0,336.0,348416.0,70624.0,4933409.0
